,ufId,idProceso,fechaInicio,fechaTermino
89,1641,49,2021-09-09 19:00:00    ,2022-05-18 00:00:00    
90,1641,62,2021-09-09 19:00:00    ,2022-05-18 02:00:00    
91,1641,63,2021-09-09 19:00:00    ,2022-05-18 03:00:00    
92,1653,48,2021-08-01 04:00:00    ,2022-05-18 00:00:00    
93,1653,128,2021-08-01 04:00:00    ,2022-05-18 14:00:00    
94,1661,291,2021-09-09 20:00:00    ,2021-11-11 15:00:00    
95,1674,34,2021-08-01 04:00:00    ,2022-05-17 21:00:00    
96,1674,35,2021-08-01 04:00:00    ,2022-04-01 03:00:00    
97,1674,36,2021-08-01 04:00:00    ,2022-05-17 22:00:00    
98,1674,39,2021-08-01 04:00:00    ,2022-05-17 06:00:00    
99,1719,129,2021-08-01 04:00:00    ,2022-05-18 15:00:00    
100,1719,131,2021-08-01 04:00:00    ,2022-05-18 16:00:00    
101,1719,132,2021-09-09 20:00:00    ,2022-05-18 16:00:00    
102,1719,133,2021-09-09 19:00:00    ,2022-05-18 16:00:00    
103,1719,134,2021-09-09 18:00:00    ,2022-02-13 12:00:00    
104,1719,135,2021-09-09 19:00:00    ,2022-05-17 06:00:00    
105,1802,185,2021-09-09 19:00:00    ,2022-05-19 07:00:00    
106,1802,186,2021-09-09 19:00:00    ,2022-05-19 08:00:00    
107,1802,188,2021-09-09 19:00:00    ,2022-05-19 09:00:00    
108,1802,189,2021-09-09 19:00:00    ,2022-05-19 09:00:00    
109,1802,190,2021-09-09 19:00:00    ,2022-05-19 10:00:00    
110,1802,191,2021-09-09 19:00:00    ,2022-05-19 11:00:00    
111,1802,192,2021-09-09 19:00:00    ,2022-05-19 11:00:00    
112,1838,222,2021-08-06 08:00:00    ,2021-12-25 14:00:00    
113,1862,194,2021-09-09 19:00:00    ,2022-05-19 12:00:00    
114,2023,84,2021-06-03 17:00:00    ,2022-05-10 13:00:00    
115,2023,91,2021-06-03 17:00:00    ,2022-05-10 13:00:00    
116,2023,92,2021-06-03 17:00:00    ,2022-05-10 13:00:00    
117,2023,93,2021-08-01 04:00:00    ,2022-05-10 13:00:00    
118,2067,440,2021-09-09 18:00:00    ,2022-05-20 08:00:00    
119,2067,2957,2022-02-01 04:00:00    ,2022-05-20 11:00:00    
120,2067,2958,2022-02-01 04:00:00    ,2022-05-20 11:00:00    
121,2067,2959,2022-02-01 04:00:00    ,2022-05-19 19:00:00    
122,2086,552,2021-11-09 14:00:00    ,2021-11-13 15:00:00    
123,2431,64,2021-08-01 04:00:00    ,2022-05-18 04:00:00    
124,2431,65,2021-08-01 04:00:00    ,2022-05-18 04:00:00    
125,2435,50,2021-09-09 19:00:00    ,2022-05-18 00:00:00    
126,2435,73,2021-09-09 19:00:00    ,2022-05-18 06:00:00    
127,2435,78,2021-09-09 19:00:00    ,2022-05-18 06:00:00    
128,2435,79,2021-09-09 19:00:00    ,2022-05-18 07:00:00    
129,2435,80,2021-09-09 19:00:00    ,2022-05-18 07:00:00    
130,2436,116,2021-09-09 15:00:00    ,2022-05-18 12:00:00    
131,2436,117,2021-09-09 15:00:00    ,2022-05-18 13:00:00    
132,2436,118,2021-09-09 15:00:00    ,2022-05-18 13:00:00    
133,2436,136,2021-09-09 15:00:00    ,2022-05-18 17:00:00    
134,2436,137,2021-09-09 19:00:00    ,2022-05-18 17:00:00    
135,2437,61,2021-09-09 19:00:00    ,2022-05-18 02:00:00    
136,2443,2908,2022-02-22 14:00:00    ,2022-05-20 05:00:00    
137,2443,2909,2022-02-22 15:00:00    ,2022-03-08 20:00:00    
138,2445,260,2021-09-09 19:00:00    ,2022-05-19 18:00:00    
139,2445,261,2021-09-09 19:00:00    ,2022-05-19 18:00:00    
140,2446,593,2021-09-09 19:00:00    ,2022-05-20 02:00:00    
141,2449,85,2021-11-16 04:00:00    ,2022-04-27 11:00:00    
142,2449,86,2021-03-08 06:00:00    ,2022-04-26 16:00:00    
143,2449,87,2021-12-17 02:00:00    ,2022-02-24 15:00:00    
144,2452,303,2021-09-09 19:00:00    ,2022-05-19 22:00:00    
145,2452,304,2021-09-09 19:00:00    ,2022-05-19 23:00:00    
146,2454,105,2021-06-01 04:00:00    ,2022-06-10 18:00:00    
147,2564,95,2021-11-21 03:00:00    ,2021-12-22 21:00:00    
148,2564,96,2021-11-21 03:00:00    ,2021-12-22 19:00:00    
149,2564,97,2021-11-21 04:00:00    ,2021-12-22 23:00:00    
150,2576,289,2021-08-01 04:00:00    ,2022-05-19 20:00:00    
151,2579,38,2021-08-01 04:00:00    ,2022-05-17 21:00:00    
152,2603,109,2021-09-09 19:00:00    ,2022-05-18 12:00:00    
153,2610,1733,2021-08-26 19:00:00    ,2022-03-08 01:00:00    
154,2611,138,2021-09-09 19:00:00    ,2022-05-18 17:00:00    
155,2611,152,2021-09-09 19:00:00    ,2022-05-18 21:00:00    
156,2611,153,2021-09-09 19:00:00    ,2022-05-18 22:00:00    
157,2611,154,2021-09-09 19:00:00    ,2022-05-18 22:00:00    
158,2611,155,2021-09-09 19:00:00    ,2022-05-18 22:00:00    
159,2611,156,2021-09-09 19:00:00    ,2022-05-18 23:00:00    
160,2611,157,2021-09-09 19:00:00    ,2022-05-18 23:00:00    
161,2611,158,2021-09-09 19:00:00    ,2022-05-18 23:00:00    
162,2611,159,2021-09-09 19:00:00    ,2022-05-19 00:00:00    
163,2611,160,2021-09-09 19:00:00    ,2022-05-19 00:00:00    
164,2611,161,2021-09-09 19:00:00    ,2022-05-19 00:00:00    
165,2617,173,2021-08-01 04:00:00    ,2022-05-19 02:00:00    
166,2620,40,2021-08-01 04:00:00    ,2022-05-01 03:00:00    
167,2620,41,2021-08-01 04:00:00    ,2022-05-17 22:00:00    
168,2620,42,2021-08-01 04:00:00    ,2022-05-17 22:00:00    
169,2620,43,2021-08-01 04:00:00    ,2022-05-17 22:00:00    
170,2626,174,2021-08-01 04:00:00    ,2022-05-19 02:00:00    
171,2634,53,2021-08-01 04:00:00    ,2022-05-18 01:00:00    
172,2647,66,2021-09-01 04:00:00    ,2022-05-18 04:00:00    
173,2647,68,2021-09-01 04:00:00    ,2022-05-18 05:00:00    
174,2647,71,2021-08-01 04:00:00    ,2022-05-18 06:00:00    
175,2688,1236,2021-08-01 04:00:00    ,2022-05-17 17:00:00    
